
('Silver III ', '130', '3', '2.7', '877', '735', '1.0k', '1.6m', '1', '1.0k', '22.9k', '2.9m', 'Ezreal', 'Draven', 'Sivir')
('Silver III ', '12', '0', '5.8', '34', '64', '122', '118.0k', '0', '152', '1.0k', '142.3k', 'Sona', 'Teemo', 'Volibear')
('Silver II ', '124', '2', '2.6', '658', '669', '1.1k', '1.3m', '0', '1.3k', '16.6k', '1.9m', 'Jhin', 'Warwick', 'Master Yi')
('Unranked ', '32', '1', '15.3', '156', '152', '251', '317.9k', '0', '345', '3.7k', '462.0k', 'Morgana', 'Jinx', 'Karma')
('Silver I ', '35', '0', '16.8', '196', '194', '193', '379.1k', '1', '318', '5.4k', '561.0k', 'Darius', 'Pantheon', 'Teemo')
('Silver IV ', '22', '1', '11.6', '149', '165', '181', '253.2k', '0', '193', '3.0k', '450.0k', 'Yasuo', 'Riven', 'Zed')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Morgana', 'Karma', 'Talon')
('Silver III ', '10', '0', '5.4', '66', '82', '52', '119.5k', '0', '109', '1.5k', '195.0k', 'Aatrox', 'Rammus', 'Udyr')
('Bronze I ', '58', '2', '1.2', '353', '331', '321', '617.2k', '0', '465', '8.3k', '1.1m', 'Teemo', 'Yasuo', 'Jhin')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Darius', 'Lee Sin')
('Silver IV ', '32', '1', '16.3', '278', '197', '240', '410.7k', '0', '337', '5.6k', '726.2k', 'Vayne', 'Veigar', 'Tristana')
('Silver III ', '31', '1', '16.1', '49', '144', '405', '282.2k', '0', '729', '1.2k', '253.7k', 'Taric', 'Morgana', 'Lulu')
('Unranked ', '27', '0', '13.6', '103', '207', '229', '273.8k', '0', '319', '3.6k', '368.6k', 'Kindred', 'Lee Sin', 'Jhin')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Silver II ', '127', '6', '2.5', '944', '894', '684', '1.5m', '0', '1.1k', '22.3k', '2.9m', 'Ryze', 'Veigar', 'Zilean')
('Silver I ', '18', '0', '8.6', '79', '113', '120', '194.6k', '0', '164', '2.9k', '271.0k', 'Teemo', 'Morgana', 'Leona')
('Silver IV ', '263', '9', '5.5', '1.5k', '1.7k', '2.0k', '2.9m', '0', '2.4k', '37.7k', '4.1m', 'Nunu & Willump', 'Warwick', 'Nocturne')
('Silver III ', '141', '5', '3.0', '782', '796', '1.1k', '1.5m', '0', '1.8k', '17.7k', '1.9m', 'Nocturne', 'Caitlyn', 'Malphite')
('Silver III ', '10', '0', '5.8', '73', '59', '92', '134.4k', '0', '83', '1.9k', '213.2k', 'Diana', 'Caitlyn', 'Jinx')
('Unranked ', '20', '0', '9.5', '70', '142', '186', '180.7k', '0', '181', '1.9k', '251.5k', 'Janna', 'Evelynn', 'Sion')
('Unranked ', '3', '0', '1.3', '13', '19', '20', '27.1k', '0', '37', '347', '37.0k', 'Miss Fortune', 'Jhin', 'Tristana')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lucian', 'Vayne', 'Jinx')
('Silver IV ', '126', '6', '2.7', '514', '830', '1.2k', '1.3m', '0', '1.9k', '16.9k', '2.4m', 'Sivir', 'Morgana', 'Taric')
('Bronze I ', '26', '1', '12.5', '97', '180', '355', '238.5k', '0', '294', '1.7k', '334.5k', 'Thresh', 'Leona', 'Ashe')
('Silver IV ', '48', '0', '23.2', '356', '246', '284', '569.9k', '1', '434', '8.3k', '928.2k', 'Yasuo', 'Lee Sin', 'Garen')
('Silver IV ', '38', '0', '20.4', '223', '242', '333', '441.9k', '0', '436', '5.8k', '728.5k', 'Evelynn', 'Xin Zhao', 'Rammus')
